pH                       	pressure                 	Cl-.tot                  	HCO3-.con                	CO3-2.con                	Na+.con                  	Na+.tot                  	CO3-2.tot                	OH-.con                  	chargebalance            	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 13.0383075              	 1.00000000              	 5.10204082e-1           	 1.16409985e-4           	 9.98835895e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 1.89912329e-1           	 0.0                     	-9.33818240              	-10.8041824              	-4.11787488              	-1.40856736              	 1.11111111e-111         	 4.59005198e-10          	 1.11111111e-111         	 1.11111111e-111         	 4.59005198e-10          	 1.16409985e-4           	 9.98835895e-2           	 9.99999995e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.9889713              	 1.00000000              	 5.30612245e-1           	 1.30394763e-4           	 9.98696046e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 1.69518151e-1           	 0.0                     	-9.23957584              	-10.7055758              	-4.06860450              	-1.40863317              	 1.11111111e-111         	 5.76002230e-10          	 1.11111111e-111         	 1.11111111e-111         	 5.76002230e-10          	 1.30394763e-4           	 9.98696046e-2           	 9.99999994e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.9333147              	 1.00000000              	 5.51020408e-1           	 1.48194621e-4           	 9.98518046e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 1.49127788e-1           	 0.0                     	-9.12834631              	-10.5943463              	-4.01303162              	-1.40871693              	 1.11111111e-111         	 7.44138363e-10          	 1.11111111e-111         	 1.11111111e-111         	 7.44138363e-10          	 1.48194621e-4           	 9.98518046e-2           	 9.99999993e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.8694812              	 1.00000000              	 5.71428571e-1           	 1.71614876e-4           	 9.98283841e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 1.28743046e-1           	 0.0                     	-9.00078953              	-10.4667895              	-3.94930835              	-1.40882717              	 1.11111111e-111         	 9.98183685e-10          	 1.11111111e-111         	 1.11111111e-111         	 9.98183685e-10          	 1.71614876e-4           	 9.98283841e-2           	 9.99999990e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.7946565              	 1.00000000              	 5.91836735e-1           	 2.03810670e-4           	 9.97961879e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 1.08367079e-1           	 0.0                     	-8.85129185              	-10.3172918              	-3.87463530              	-1.40897875              	 1.11111111e-111         	 1.40834208e-9           	 1.11111111e-111         	 1.11111111e-111         	 1.40834208e-9           	 2.03810670e-4           	 9.97961879e-2           	 9.99999986e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.7042738              	 1.00000000              	 6.12244898e-1           	 2.50834151e-4           	 9.97491636e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 8.80059406e-2           	 0.0                     	-8.67074776              	-10.1367478              	-3.78447399              	-1.40920023              	 1.11111111e-111         	 2.13428418e-9           	 1.11111111e-111         	 1.11111111e-111         	 2.13428418e-9           	 2.50834151e-4           	 9.97491636e-2           	 9.99999979e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.5901806              	 1.00000000              	 6.32653061e-1           	 3.25929371e-4           	 9.96740669e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.76728756e-2           	 0.0                     	-8.44291522              	-9.90891522              	-3.67073467              	-1.40955412              	 1.11111111e-111         	 3.60649040e-9           	 1.11111111e-111         	 1.11111111e-111         	 3.60649040e-9           	 3.25929371e-4           	 9.96740669e-2           	 9.99999964e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.4355828              	 1.00000001              	 6.53061224e-1           	 4.64582211e-4           	 9.95354102e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.74033729e-2           	 0.0                     	-8.13437381              	-9.60037381              	-3.51679099              	-1.41020817              	 1.11111111e-111         	 7.33881923e-9           	 1.11111111e-111         	 1.11111111e-111         	 7.33881923e-9           	 4.64582211e-4           	 9.95354102e-2           	 9.99999927e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.1964852              	 1.00000002              	 6.73469388e-1           	 8.02694949e-4           	 9.91972823e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 2.73333527e-2           	 0.0                     	-7.65777698              	-9.12377698              	-3.27929182              	-1.41180667              	 1.11111111e-111         	 2.19898888e-8           	 1.11111111e-111         	 1.11111111e-111         	 2.19898888e-8           	 8.02694949e-4           	 9.91972823e-2           	 9.99999780e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 11.6954069              	 1.00000022              	 6.93877551e-1           	 2.49737436e-3           	 9.75024013e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 8.62027201e-3           	 0.0                     	-6.66370933              	-8.12970933              	-2.78630243              	-1.41989552              	 1.11111111e-111         	 2.16915589e-7           	 1.11111111e-111         	 1.11111111e-111         	 2.16915589e-7           	 2.49737436e-3           	 9.75024013e-2           	 9.99997831e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
