NodeID: 0.0
 nr   logfactor           convergence         gas_val_u                   gas_res             I                           I.eq                pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             0.0                                             0.0                                             0.0                

 1.0  0.0                 12.999999999999833  2.92844424e-13           X  1.00000000          8.95285961e-8              -1.85903880e-18      7.04819076                  9.26442286e-23     -12.4164323                  3.83325651e-33     -21.2736234                  1.08775134e-22     
 107. 0.0                 1.8274582982596834  1.28234636e-5               0.0                 8.95285961e-8              -4.65022412e-18      7.04819076                  0.0                 4.36024063e-17           X  6.72137766e-12     -64.8602643                  2.81766064e-66     
 108. 0.0                 1.816530039595072   1.26631343e-5               0.0                 8.95285962e-8               1.67777375e-18      7.04819076                  0.0                 4.36024063e-17           X  6.55435620e-12     -65.2950590                  1.03536627e-66     
 109. 0.0                 1.805735871349333   1.25067402e-5               0.0                 8.95285961e-8               2.77932686e-22      7.04819076                 -1.85288457e-22      4.36024063e-17           X  6.39345881e-12     -65.7298537                  3.80451533e-67     
 110. 0.0                 1.795072563236332   1.23541387e-5               0.0                 8.95285961e-8               0.0                 7.04819076                  1.85288457e-22      4.36024063e-17           X  6.23839060e-12     -66.1646483                  1.39799193e-67     
 111. 0.0                 1.784536999821254   1.22051942e-5               0.0                 8.95285961e-8               0.0                 7.04819076                 -1.85288457e-22      4.36024063e-17           X  6.08887418e-12     -66.5994430                  5.13700503e-68     
 112. 0.0                 1.7741261751569684  1.20597771e-5               0.0                 8.95285961e-8               0.0                 7.04819076                  1.85288457e-22      4.36024063e-17           X  5.94464843e-12     -67.0342377                  1.88762325e-68     
 113. 0.0                 1.7638371877290906  1.19177642e-5               0.0                 8.95285961e-8               0.0                 7.04819076                 -1.85288457e-22      4.36024063e-17           X  5.80546736e-12     -67.4690324                  6.93618461e-69     
 114. 0.0                 1.7536672356886982  1.17790377e-5               0.0                 8.95285962e-8               5.02074809e-18      7.04819076                  3.70576914e-22      4.36024063e-17           X  5.67109909e-12     -67.9038270                  2.54874255e-69     
 115. 0.0                 1.7436136123533295  1.16434853e-5               0.0                 8.95285961e-8              -1.81095644e-18      7.04819076                 -1.85288457e-22      4.36024063e-17           X  5.54132487e-12     -68.3386217                  9.36550707e-70     
 116. 0.0                 1.7336737019583817  1.15109997e-5               0.0                 8.95285962e-8               2.83699127e-18      7.04819076                  3.57342025e-22      4.36024063e-17           X  5.41593822e-12     -68.7734164                  3.44141163e-70     
