NodeID: 0.0
 nr   logfactor           convergence         gas_u                       gas_res             pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             1.00000000e-2                                   1.00000000e-1      

 123. 0.0                 12.99931334568947  -1.20993888e2             X  9.98420169e-1       7.00000000               X -3.05400891e-4      -13.7800000               X  1.65958691e-34     -2.80138944               X  3.59121263e-4      
 124. 0.0                 12.999136091732707 -1.21992308e2             X  9.98012755e-1       7.00000000               X -3.84158056e-4      -13.7700000               X  1.69824365e-34     -2.70174856               X  4.51733188e-4      
 125. 0.0                 12.998913255945013 -1.22990321e2             X  9.97500808e-1       7.00000000               X -4.83122465e-4      -13.7600000               X  1.73780083e-34     -2.60220030               X  5.68107163e-4      
 126. 0.0                 12.998633218415167 -1.23987821e2             X  9.96857816e-1       7.00000000               X -6.07418965e-4      -13.7500000               X  1.77827941e-34     -2.50276840               X  7.14269586e-4      
 127. 0.0                 12.998281456117516 -1.24984679e2             X  9.96050725e-1       7.00000000               X -7.63437449e-4      -13.7400000               X  1.81970086e-34     -2.40348267               X  8.97734444e-4      
 128. 0.0                 12.997839851889674 -1.25980730e2             X  9.95038425e-1       7.00000000               X -9.59125051e-4      -13.7300000               X  1.86208714e-34     -2.30438041               X  1.12784691e-3      
 129. 0.0                 12.997285858909587 -1.26975768e2             X  9.93769947e-1       7.00000000               X -1.20433414e-3      -13.7200000               X  1.90546072e-34     -2.20550826               X  1.41619256e-3      
 130. 0.0                 12.996591502358056 -1.27969538e2             X  9.92182362e-1       7.00000000               X -1.51122975e-3      -13.7100000               X  1.94984460e-34     -2.10692445               X  1.77707646e-3      
 131. 0.0                 12.995722205390704 -1.28961721e2             X  9.90198366e-1       7.00000000               X -1.89475548e-3      -13.7000000               X  1.99526231e-34     -2.00870152               X  2.22807106e-3      
 132. 0.0                 12.994635438407814 -1.29951919e2             X  9.87723618e-1       7.00000000               X -2.37314845e-3      -13.6900000               X  2.04173794e-34     -1.91092960               X  2.79062170e-3      
 133. 0.0                 12.993279212644893 -1.30939643e2             X  9.84643941e-1       7.00000000               X -2.96848001e-3      -13.6800000               X  2.08929613e-34     -1.81372022               X  3.49068247e-3      
 134. 0.0                 12.99159047649444  -1.31924287e2             X  9.80822628e-1       7.00000000               X -3.70717701e-3      -13.6700000               X  2.13796209e-34     -1.71721090               X  4.35932916e-3      
 135. 0.0                 12.989493532385872 -1.32905109e2             X  9.76098246e-1       7.00000000               X -4.62044597e-3      -13.6600000               X  2.18776162e-34     -1.62157023               X  5.43325807e-3      
