NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                             9.99999978e-3                                   5.00000000e-1                                   9.99999968e-21     
 300  -4.6188             15.6621            -9.95111717e-2            X -9.99696098e-1      -3.60000000               X  5.23341562e3       -30.7320790               X  2.43593819e-31     -4.34938039e-1            X  4.82844405e-1      -13.8689956               X  4.59255060e2       
 300  -4.71879            15.8533            -9.94920695e-2            X -9.99758586e-1      -3.70000000               X  6.58831614e3       -30.7320788               X  2.43592492e-31     -4.34937711e-1            X  4.82841927e-1      -13.8777710               X  7.13309996e2       
 300  -4.81877            16.0425            -9.94768948e-2            X -9.99808227e-1      -3.80000000               X  8.29403483e3       -30.7320786               X  2.43591438e-31     -4.34937451e-1            X  4.82839958e-1      -13.8885979               X  1.10268446e3       
 300  -4.91877            16.2292            -9.94648403e-2            X -9.99847663e-1      -3.90000000               X  1.04414075e4       -30.7320785               X  2.43590600e-31     -4.34937244e-1            X  4.82838394e-1      -13.9018928               X  1.69494736e3       
 300  -3.22916            15.4292            -9.88749413e-2            X -9.99878807e-1      -4.00000000               X  1.31424369e4       -30.7320726               X  2.43549554e-31     -4.34927119e-1            X  4.82761731e-1      -14.9018928               X  2.68630991e2       
 300  -2.42916            14.6292            -9.51528138e-2            X -9.99902791e-1      -4.10000000               X  1.65260282e4       -30.7320354               X  2.43287854e-31     -4.34862948e-1            X  4.82272911e-1      -15.9018928               X  42.5751349         
 300  -1.62916            14.3148            -7.16672090e-2            X -9.99917854e-1      -4.20000000               X  2.06431647e4       -30.7318005               X  2.41527001e-31     -4.34446576e-1            X  4.78982476e-1      -16.9018928               X  6.74770311         
 300  -0.829156           14.3838             7.65191941e-2            X -9.99901420e-1      -4.30000000               X  2.41968562e4       -30.7303185               X  2.25648451e-31     -4.31331809e-1            X  4.49178616e-1      -17.9018928               X  1.06943872         
 300  -0.300987           14.1596             5.76519194e-1            X -9.99477665e-1      -4.40000000               X  1.44411064e4       -30.7253180               X  1.08212055e-31     -4.05918612e-1            X  2.25774592e-1      -18.4366649               X  4.94747619e-1      
 300  -0.300803           13.0706             1.07651919               X -9.79727545e-1      -4.50000000               X  1.17663796e3       -30.7203154               X  7.08467673e-33     -2.68734252e-1            X  2.00401610e-2      -18.6841680               X  4.43486658e-1      
 300  -4.07064            13.1703             1.07660246               X -9.83881207e-1      -4.60000000               X  1.48013027e3       -30.7203146               X  7.07912361e-33     -2.68693461e-1            X  2.00262948e-2      -18.6842057               X  7.02817986e-1      
 300  -4.1703             13.27               1.07666893               X -9.87186352e-1      -4.70000000               X  1.86219923e3       -30.7203139               X  7.07469270e-33     -2.68661033e-1            X  2.00152234e-2      -18.6842532               X  1.11376966         
 300  -4.27003            13.3698             1.07672194               X -9.89815395e-1      -4.80000000               X  2.34319138e3       -30.7203134               X  7.07116050e-33     -2.68635258e-1            X  2.00063929e-2      -18.6843130               X  1.76496287         
 300  -4.36981            13.4696             1.07676419               X -9.91906051e-1      -4.90000000               X  2.94872130e3       -30.7203129               X  7.06834682e-33     -2.68614773e-1            X  1.99993558e-2      -18.6843883               X  2.79679252         
 300  -4.46963            13.6466             1.07679782               X -9.93568198e-1      -5.00000000               X  3.71103567e3       -30.7203126               X  7.06610680e-33     -2.68598495e-1            X  1.99937517e-2      -18.6844832               X  4.43164947         
 300  -4.5695             13.8464             1.07682460               X -9.94889425e-1      -5.10000000               X  4.67073050e3       -30.7203123               X  7.06432431e-33     -2.68585561e-1            X  1.99892910e-2      -18.6846026               X  7.02176003         
 300  -4.66938            14.0463             1.07684590               X -9.95939506e-1      -5.20000000               X  5.87891304e3       -30.7203121               X  7.06290643e-33     -2.68575284e-1            X  1.99857420e-2      -18.6847529               X  11.1248880         
 300  -4.7693             14.2461             1.07686284               X -9.96773991e-1      -5.30000000               X  7.39992342e3       -30.7203119               X  7.06177889e-33     -2.68567119e-1            X  1.99829193e-2      -18.6849421               X  17.6240783         
 300  -4.86923            14.4459             1.07687631               X -9.97437083e-1      -5.40000000               X  9.31476099e3       -30.7203118               X  7.06088245e-33     -2.68560632e-1            X  1.99806748e-2      -18.6851803               X  27.9169680         
